"Município";"Ano";"Fator1";"Fator2";"Fator3";"ECV";"IREAL";"Base"
110020;2003;0,175729207118445;-1,22943672789252;-0,0602173142339533;0,729006337882655;0,624504626602159;1
130260;2003;8,47802698532076;-0,795055485167634;-0,466837117482951;0,729006337882655;0,624504626602159;1
150140;2003;7,70677555895812;-2,01589019803284;2,37663376478334;0,729006337882655;0,624504626602159;1
150420;2003;-14,9995474973106;-2,56481302017048;3,68509865565126;0,729006337882655;0,624504626602159;1
150680;2003;-8,41981767072274;1,1106877686915;0,948103403997274;0,729006337882655;0,624504626602159;1
172100;2003;-4,17804704959985;-1,47160368365856;-0,167952480266624;0,729006337882655;0,624504626602159;1
211130;2003;6,1177293808962;-0,814784888457608;0,485867551059044;0,729006337882655;0,624504626602159;1
230440;2003;14,1985634707519;-1,15411612245786;1,40783872071712;0,729006337882655;0,624504626602159;1
240810;2003;6,96390606907415;-0,593743068322993;1,94265993022124;0,729006337882655;0,624504626602159;1
250400;2003;-1,09530821485685;4,21482366140689;0,175645057855064;0,729006337882655;0,624504626602159;1
261160;2003;12,1603376340705;-2,03507747022945;1,39364767567161;0,729006337882655;0,624504626602159;1
270430;2003;5,34181428921108;1,33589619366655;1,89157059527036;0,729006337882655;0,624504626602159;1
280030;2003;3,11437548284329;0,532423395079117;1,15174944359449;0,729006337882655;0,624504626602159;1
291480;2003;-6,42186411165319;4,29119673976863;3,35796878779754;0,729006337882655;0,624504626602159;1
291955;2003;-23,087012325071;-11,5388303844892;0,00492880887205077;0,729006337882655;0,624504626602159;1
292740;2003;13,6993186279406;-3,51311632076643;2,45128665117015;0,729006337882655;0,624504626602159;1
310620;2003;18,6833078595584;-5,3220610942711;0,318731222006617;0,729006337882655;0,624504626602159;1
310670;2003;-3,83776263173227;-0,00566086765144841;-8,47989420447185;0,729006337882655;0,624504626602159;1
313170;2003;-9,68088993273104;-1,04088922505935;-0,57501485260296;0,729006337882655;0,624504626602159;1
313240;2003;-7,10470067641909;4,07304766712503;0,34731164439794;0,729006337882655;0,624504626602159;1
313670;2003;4,54036239806658;2,35724838314411;-0,493121122775224;0,729006337882655;0,624504626602159;1
